sub,sub_num,orig_epoch,condition,item_name,familiarity,match_status,isPC_LPC
03,3,1,Literal,teeth,5.05555555555556,unmatched,0.970738915742286
03,3,2,Metaphor,blind,5.55555555555556,matched,0.964727568974001
03,3,3,Anomalous,lifting,1.94444444444444,matched,0.969400708832723
03,3,4,Metaphor,head,4.61111111111111,matched,0.977190046657602
03,3,5,Anomalous,couple,2.16666666666667,matched,0.981913811615215
03,3,7,Anomalous,thought,3.27777777777778,matched,0.970171152924702
03,3,8,Literal,fixed,5,matched,0.921394297711764
03,3,9,Metaphor,shoulder,3.77777777777778,matched,0.920100039066836
03,3,13,Metaphor,plant,5.66666666666667,matched,0.984393563921595
03,3,14,Metaphor,missing,4.44444444444444,unmatched,0.948099072153217
03,3,15,Literal,running,5.72222222222222,matched,0.955210147552885
03,3,16,Literal,heart,6.38888888888889,unmatched,0.906919418709555
03,3,18,Metaphor,tag,3.94444444444444,unmatched,0.989085523502029
03,3,20,Literal,smell,5.66666666666667,unmatched,0.856297156229866
03,3,21,Anomalous,walking,2.5,matched,0.927356986219952
03,3,22,Literal,growing,5.11111111111111,unmatched,0.976069236516541
03,3,23,Literal,drowning,5.22222222222222,matched,0.92183216275287
03,3,25,Metaphor,tree,5.33333333333333,matched,0.956650084460203
03,3,26,Anomalous,sheep,2.72222222222222,matched,0.965241889892451
03,3,27,Anomalous,pills,2.88888888888889,unmatched,0.959696994956676
03,3,29,Literal,walk,5.16666666666667,matched,0.972520481425495
03,3,31,Metaphor,scale,5.66666666666667,matched,0.932757047475918
03,3,32,Metaphor,tears,4.16666666666667,unmatched,0.947279812539392
03,3,33,Metaphor,couch,6.11111111111111,matched,0.947153458533162
03,3,35,Literal,scattered,4.72222222222222,matched,0.984278366052574
03,3,36,Literal,eye,5.44444444444444,matched,0.953863399933309
03,3,37,Anomalous,rain,2.61111111111111,matched,0.973580654399585
03,3,38,Anomalous,clock,4,matched,0.897560646333768
03,3,39,Literal,key,5.33333333333333,matched,0.988793803107762
03,3,40,Literal,chains,5.5,matched,0.967369517829335
03,3,41,Anomalous,light,2.16666666666667,matched,0.961103057115716
03,3,43,Metaphor,jail,4.66666666666667,matched,0.956910502811075
03,3,44,Literal,charging,6.11111111111111,matched,0.93979328767295
03,3,45,Metaphor,bin,4.72222222222222,matched,0.90821020184667
03,3,46,Literal,words,3.77777777777778,matched,0.926902809967758
03,3,47,Metaphor,empty,5.05555555555556,matched,0.961349039394688
03,3,49,Anomalous,fight,1.94444444444444,matched,0.94859214041957
03,3,50,Metaphor,root,3.05555555555556,unmatched,0.993087332173948
03,3,52,Literal,body,5.66666666666667,unmatched,0.929029218772306
03,3,54,Literal,missing,6.17647058823529,unmatched,0.965766548669079
03,3,55,Literal,couch,6,matched,0.965943520955283
03,3,56,Literal,root,5.29411764705882,unmatched,0.916982199870464
03,3,57,Anomalous,cough,4.35294117647059,unmatched,0.973743033196665
03,3,58,Literal,blind,5.70588235294118,matched,0.977854202286941
03,3,59,Metaphor,fight,4.875,matched,0.943717430929733
